seed,agent_name,alpha,beta,gamma,num_jobs,steps_executed,completed_jobs,failed_jobs,completion_rate,value_weighted_completion_rate,uncapped_completion_rate,failure_rate,total_completed_value,total_job_value,total_compute_cost,avg_compute_cost_per_step,total_utility,completed_all_jobs,hit_step_budget
21,Reflex Agent,1.0,0.1,1.0,100,300,66,16,0.66,0.6995,0.81,0.16,194.17,277.6,685.512,2.285,109.6188,False,True
22,Reflex Agent,1.0,0.1,1.0,100,300,64,10,0.64,0.7197,0.88,0.1,210.45,292.42,482.97,1.6099,152.153,False,True
23,Reflex Agent,1.0,0.1,1.0,100,300,64,25,0.64,0.6891,0.71,0.25,211.56,307.01,800.842,2.6695,106.4758,False,True
24,Reflex Agent,1.0,0.1,1.0,100,300,67,13,0.67,0.7385,0.84,0.13,209.95,284.29,437.994,1.46,153.1506,False,True
25,Reflex Agent,1.0,0.1,1.0,100,300,63,20,0.63,0.6531,0.77,0.2,203.52,311.64,380.4,1.268,145.48,False,True
26,Reflex Agent,1.0,0.1,1.0,100,300,66,13,0.66,0.7152,0.79,0.13,217.28,303.81,868.358,2.8945,117.4442,False,True
27,Reflex Agent,1.0,0.1,1.0,100,300,71,9,0.71,0.8088,0.89,0.09,243.66,301.27,1013.668,3.3789,133.2932,False,True
28,Reflex Agent,1.0,0.1,1.0,100,300,67,8,0.67,0.7422,0.89,0.08,211.89,285.47,912.14,3.0405,112.676,False,True
29,Reflex Agent,1.0,0.1,1.0,100,300,65,12,0.65,0.7198,0.82,0.12,216.32,300.52,596.526,1.9884,144.6674,False,True
30,Reflex Agent,1.0,0.1,1.0,100,300,61,19,0.61,0.6778,0.74,0.19,202.17,298.26,778.276,2.5943,105.3424,False,True
31,Reflex Agent,1.0,0.1,1.0,100,300,65,13,0.65,0.6945,0.81,0.13,212.66,306.22,851.436,2.8381,114.5164,False,True
32,Reflex Agent,1.0,0.1,1.0,100,300,63,17,0.63,0.6681,0.78,0.17,212.64,318.27,637.352,2.1245,131.9048,False,True
33,Reflex Agent,1.0,0.1,1.0,100,300,64,8,0.64,0.7197,0.82,0.08,234.61,326.0,926.764,3.0892,133.9336,False,True
34,Reflex Agent,1.0,0.1,1.0,100,300,63,15,0.63,0.6696,0.79,0.15,205.78,307.3,758.042,2.5268,114.9758,False,True
35,Reflex Agent,1.0,0.1,1.0,100,300,62,17,0.62,0.6539,0.78,0.17,184.65,282.4,703.068,2.3436,97.3432,False,True
36,Reflex Agent,1.0,0.1,1.0,100,300,68,11,0.68,0.7437,0.82,0.11,228.14,306.76,934.23,3.1141,123.717,False,True
37,Reflex Agent,1.0,0.1,1.0,100,300,66,11,0.66,0.7138,0.88,0.11,224.92,315.09,411.946,1.3732,172.7254,False,True
38,Reflex Agent,1.0,0.1,1.0,100,300,61,21,0.61,0.6627,0.75,0.21,196.73,296.87,513.554,1.7118,124.3746,False,True
39,Reflex Agent,1.0,0.1,1.0,100,300,65,10,0.65,0.7153,0.86,0.1,220.25,307.92,440.846,1.4695,166.1654,False,True
40,Reflex Agent,1.0,0.1,1.0,100,300,57,22,0.57,0.6353,0.75,0.22,192.32,302.73,440.696,1.469,126.2504,False,True
41,Reflex Agent,1.0,0.1,1.0,100,300,66,12,0.66,0.7364,0.81,0.12,226.81,307.98,1026.91,3.423,112.119,False,True
42,Reflex Agent,1.0,0.1,1.0,100,300,65,12,0.65,0.7103,0.82,0.12,219.17,308.57,1043.0,3.4767,102.87,False,True
43,Reflex Agent,1.0,0.1,1.0,100,300,62,13,0.62,0.7255,0.81,0.13,209.12,288.25,400.11,1.3337,156.109,False,True
44,Reflex Agent,1.0,0.1,1.0,100,300,59,21,0.59,0.6223,0.75,0.21,184.93,297.18,776.434,2.5881,86.2866,False,True
45,Reflex Agent,1.0,0.1,1.0,100,300,64,11,0.64,0.6846,0.84,0.11,215.26,314.42,850.468,2.8349,119.2132,False,True
46,Reflex Agent,1.0,0.1,1.0,100,300,64,12,0.64,0.7197,0.81,0.12,219.76,305.36,925.69,3.0856,115.191,False,True
47,Reflex Agent,1.0,0.1,1.0,100,300,65,13,0.65,0.7229,0.85,0.13,224.0,309.85,982.526,3.2751,112.7474,False,True
48,Reflex Agent,1.0,0.1,1.0,100,300,61,14,0.61,0.674,0.81,0.14,219.32,325.39,761.908,2.5397,129.1292,False,True
49,Reflex Agent,1.0,0.1,1.0,100,300,65,12,0.65,0.7209,0.82,0.12,208.18,288.79,430.722,1.4357,153.1078,False,True
0,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,60,19,0.6,0.6632,0.75,0.19,210.79,317.82,363.224,1.2107,155.4676,False,True
1,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,62,14,0.62,0.6964,0.79,0.14,206.38,296.36,627.374,2.0912,129.6426,False,True
2,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,49,12,0.49,0.563,0.78,0.12,177.24,314.8,567.662,1.8922,108.4738,False,True
3,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,59,18,0.59,0.6781,0.8,0.18,202.3,298.34,494.506,1.6484,134.8494,False,True
4,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,51,16,0.51,0.589,0.75,0.16,163.34,277.32,431.164,1.4372,104.2236,False,True
5,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,40,14,0.4,0.4856,0.79,0.14,138.51,285.23,582.61,1.942,66.249,False,True
6,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,31,15,0.31,0.3829,0.72,0.15,113.55,296.52,575.96,1.9199,40.954,False,True
7,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,59,17,0.59,0.6631,0.81,0.17,192.39,290.14,410.138,1.3671,134.3762,False,True
8,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,52,11,0.52,0.6041,0.82,0.11,189.34,313.41,659.702,2.199,112.3698,False,True
9,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,49,20,0.49,0.5137,0.71,0.2,158.32,308.18,641.588,2.1386,74.1612,False,True
10,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,59,14,0.59,0.6547,0.78,0.14,193.7,295.87,598.5,1.995,119.85,False,True
11,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,45,11,0.45,0.5277,0.79,0.11,158.95,301.21,508.216,1.6941,97.1284,False,True
12,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,34,13,0.34,0.4316,0.69,0.13,127.13,294.57,362.478,1.2083,77.8822,False,True
13,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,35,11,0.35,0.4372,0.78,0.11,128.79,294.6,457.016,1.5234,72.0884,False,True
14,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,62,14,0.62,0.6894,0.83,0.14,202.77,294.13,709.568,2.3652,117.8132,False,True
15,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,54,20,0.54,0.5867,0.78,0.2,180.72,308.02,466.932,1.5564,114.0268,False,True
16,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,38,12,0.38,0.4488,0.76,0.12,133.73,297.94,647.716,2.1591,56.9584,False,True
17,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,64,13,0.64,0.7159,0.85,0.13,215.13,300.49,345.848,1.1528,167.5452,False,True
18,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,64,11,0.64,0.7023,0.82,0.11,214.62,305.61,401.846,1.3395,163.4354,False,True
19,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,38,7,0.38,0.4608,0.77,0.07,137.42,298.24,628.054,2.0935,67.6146,False,True
20,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,56,14,0.56,0.6142,0.77,0.14,183.99,299.56,624.346,2.0812,107.5554,False,True
21,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,47,13,0.47,0.5423,0.8,0.13,150.53,277.6,484.666,1.6156,89.0634,False,True
22,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,66,9,0.66,0.7137,0.87,0.09,208.71,292.42,592.304,1.9743,140.4796,False,True
23,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,57,14,0.57,0.6416,0.78,0.14,196.98,307.01,694.852,2.3162,113.4948,False,True
24,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,61,12,0.61,0.6976,0.83,0.12,198.31,284.29,752.168,2.5072,111.0932,False,True
25,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,62,17,0.62,0.654,0.79,0.17,203.82,311.64,439.288,1.4643,142.8912,False,True
26,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,61,11,0.61,0.6854,0.8,0.11,208.24,303.81,640.558,2.1352,133.1842,False,True
27,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,37,4,0.37,0.4933,0.86,0.04,148.61,301.27,492.116,1.6404,95.3984,False,True
28,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,30,12,0.3,0.3698,0.77,0.12,105.57,285.47,562.16,1.8739,37.354,False,True
29,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,47,9,0.47,0.5567,0.76,0.09,167.31,300.52,660.94,2.2031,92.216,False,True
30,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,54,9,0.54,0.6205,0.77,0.09,185.08,298.26,748.048,2.4935,101.2752,False,True
31,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,39,8,0.39,0.4544,0.72,0.08,139.15,306.22,440.394,1.468,87.1106,False,True
32,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,58,9,0.58,0.6485,0.83,0.09,206.41,318.27,580.652,1.9355,139.3448,False,True
33,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,49,9,0.49,0.5744,0.81,0.09,187.27,326.0,793.496,2.645,98.9204,False,True
34,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,53,18,0.53,0.5762,0.74,0.18,177.06,307.3,616.882,2.0563,97.3718,False,True
35,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,45,14,0.45,0.5375,0.74,0.14,151.79,282.4,655.762,2.1859,72.2138,False,True
36,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,51,9,0.51,0.6018,0.83,0.09,184.61,306.76,602.44,2.0081,115.366,False,True
37,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,68,10,0.68,0.7239,0.88,0.1,228.09,315.09,414.802,1.3827,176.6098,False,True
38,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,61,17,0.61,0.6783,0.77,0.17,201.38,296.87,341.094,1.137,150.2706,False,True
39,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,64,10,0.64,0.7008,0.78,0.1,215.78,307.92,347.332,1.1578,171.0468,False,True
40,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,53,10,0.53,0.5966,0.83,0.1,180.61,302.73,575.91,1.9197,113.019,False,True
41,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,58,12,0.58,0.6632,0.78,0.12,204.25,307.98,686.186,2.2873,123.6314,False,True
42,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,40,7,0.4,0.4826,0.79,0.07,148.92,308.57,650.272,2.1676,76.8928,False,True
43,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,66,11,0.66,0.7335,0.85,0.11,211.44,288.25,326.824,1.0894,167.7576,False,True
44,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,52,15,0.52,0.5953,0.78,0.15,176.92,297.18,632.028,2.1068,98.7172,False,True
45,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,62,11,0.62,0.6626,0.83,0.11,208.32,314.42,631.35,2.1045,134.185,False,True
46,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,63,12,0.63,0.702,0.79,0.12,214.36,305.36,648.034,2.1601,137.5566,False,True
47,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,44,14,0.44,0.525,0.76,0.14,162.66,309.85,606.866,2.0229,87.9734,False,True
48,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,50,17,0.5,0.5653,0.75,0.17,183.94,325.39,520.43,1.7348,114.897,False,True
49,Utility-Based Agent (Non-Learning Baseline),1.0,0.1,1.0,100,300,62,13,0.62,0.6721,0.78,0.13,194.1,288.79,468.974,1.5632,134.2026,False,True
