seed,step,action,state_cpu_load,state_ram_available,state_queue_depth,state_spot_price,state_dag_ready_nodes,state_job_priority,state_deadline_urgency,state_recent_failures,step_cost,delta_value,delta_risk,reward,cumulative_reward,running_tasks,completed_jobs,failed_jobs,cpu_in_use,ram_in_use,queue_depth,spot_price,prob_Execute_Ready_Job,prob_Defer_Job,prob_Scale_Up,prob_Scale_Down,prob_Reprioritize_Queue,prob_Pause_LowPriority_Job,logit_Execute_Ready_Job,logit_Defer_Job,logit_Scale_Up,logit_Scale_Down,logit_Reprioritize_Queue,logit_Pause_LowPriority_Job
200,10,Execute_Ready_Job,0.6,0.4375,1.0,0.4,1.0,0.6091,0.7586,0.0,2.052,0.0,0.2,-0.4052,-1.8864000000000003,2,0,2,5,6,170,0.38,0.2216,0.166,0.1712,0.1306,0.165,0.1456,0.336,0.047,0.078,-0.193,0.041,-0.084
200,11,Execute_Ready_Job,0.5,0.625,1.0,0.38,1.0,0.6067,0.7573,0.2,0.82,0.0,-0.2,0.11800000000000001,-1.7684000000000002,1,0,2,2,2,172,0.41,0.2243,0.1663,0.1673,0.1328,0.1646,0.1447,0.357,0.057,0.063,-0.168,0.047,-0.082
200,12,Execute_Ready_Job,0.2,0.875,1.0,0.41,1.0,0.6067,0.7573,0.0,2.2800000000000002,0.0,0.0,-0.22800000000000004,-1.9964000000000002,1,0,2,6,6,172,0.38,0.2337,0.1609,0.1641,0.1312,0.1675,0.1426,0.383,0.01,0.03,-0.194,0.05,-0.111
200,13,Execute_Ready_Job,0.6,0.625,1.0,0.38,1.0,0.6067,0.7573,0.0,3.78,0.0,0.0,-0.378,-2.3744,2,0,2,9,9,171,0.42,0.2264,0.1637,0.1697,0.1301,0.1651,0.1448,0.36,0.036,0.072,-0.194,0.044,-0.087
200,14,Execute_Ready_Job,0.9,0.4375,1.0,0.42,1.0,0.6067,0.7573,0.0,3.6,0.0,0.0,-0.36000000000000004,-2.7344,2,0,2,9,9,171,0.4,0.22,0.1657,0.1742,0.1292,0.1637,0.1472,0.339,0.055,0.105,-0.194,0.043,-0.063
200,15,Execute_Ready_Job,0.9,0.4375,1.0,0.4,1.0,0.6067,0.7573,0.0,0.0,0.0,0.2,-0.2,-2.9344,0,0,3,0,0,171,0.33,0.22,0.1658,0.1743,0.1293,0.1636,0.147,0.338,0.055,0.105,-0.194,0.042,-0.065
200,16,Execute_Ready_Job,0.0,1.0,1.0,0.33,1.0,0.6031,0.7569,0.2,0.78,0.0,-0.2,0.122,-2.8124000000000002,1,0,3,3,3,170,0.26,0.234,0.1628,0.1602,0.1345,0.1676,0.141,0.385,0.023,0.006,-0.169,0.051,-0.121
200,17,Execute_Ready_Job,0.3,0.8125,1.0,0.26,1.0,0.6031,0.7569,0.0,1.2000000000000002,0.0,0.0,-0.12000000000000002,-2.9324000000000003,2,0,3,6,6,169,0.2,0.2315,0.1627,0.166,0.1314,0.1665,0.1418,0.371,0.018,0.038,-0.195,0.042,-0.119
200,18,Execute_Ready_Job,0.6,0.625,1.0,0.2,1.0,0.6031,0.7569,0.0,1.288,0.0,0.0,-0.1288,-3.0612000000000004,2,0,3,6,5,169,0.23,0.2258,0.1652,0.1705,0.1307,0.1646,0.1432,0.35,0.038,0.069,-0.196,0.034,-0.105
200,19,Execute_Ready_Job,0.6,0.6875,1.0,0.23,1.0,0.6031,0.7569,0.0,1.61,0.0,0.0,-0.16100000000000003,-3.2222000000000004,2,0,3,7,7,170,0.23,0.2276,0.1641,0.1699,0.1304,0.1648,0.1432,0.36,0.034,0.068,-0.196,0.037,-0.103
200,20,Execute_Ready_Job,0.7,0.5625,1.0,0.23,1.0,0.6031,0.7569,0.0,0.6239999999999999,4.15,0.0,4.0876,0.8653999999999997,1,1,3,3,2,170,0.24,0.2239,0.1657,0.1719,0.1303,0.1641,0.1441,0.345,0.044,0.081,-0.196,0.034,-0.096
200,21,Execute_Ready_Job,0.3,0.875,1.0,0.24,1.0,0.5995,0.7562,0.0,0.9659999999999999,0.0,0.0,-0.09659999999999999,0.7687999999999997,2,1,3,5,4,169,0.21,0.2329,0.1621,0.1656,0.1314,0.1666,0.1414,0.377,0.015,0.036,-0.196,0.042,-0.122
200,22,Execute_Ready_Job,0.5,0.75,1.0,0.21,1.0,0.5995,0.7562,0.0,0.6499999999999999,4.119999999999999,0.0,4.054999999999999,4.8237999999999985,1,2,3,3,2,168,0.25,0.2294,0.1636,0.1685,0.1308,0.1653,0.1424,0.365,0.027,0.057,-0.196,0.038,-0.111
200,23,Execute_Ready_Job,0.3,0.875,1.0,0.25,1.0,0.5959,0.7567,0.0,1.404,0.0,0.0,-0.1404,4.683399999999999,2,2,3,6,4,167,0.27,0.2329,0.1619,0.1656,0.1314,0.1666,0.1415,0.378,0.014,0.036,-0.195,0.043,-0.121
200,24,Execute_Ready_Job,0.6,0.75,1.0,0.27,1.0,0.5959,0.7567,0.0,0.598,0.0,0.0,-0.0598,4.623599999999999,1,2,3,3,2,169,0.23,0.2292,0.1629,0.1692,0.1302,0.165,0.1434,0.37,0.029,0.067,-0.196,0.041,-0.099
200,25,Execute_Ready_Job,0.3,0.875,1.0,0.23,1.0,0.5959,0.7567,0.0,0.684,0.0,0.0,-0.0684,4.555199999999999,1,2,3,4,3,169,0.19,0.2329,0.1621,0.1657,0.1314,0.1666,0.1413,0.377,0.014,0.036,-0.195,0.042,-0.123
200,26,Execute_Ready_Job,0.4,0.8125,1.0,0.19,1.0,0.5959,0.7567,0.0,0.38999999999999996,4.200000000000001,0.0,4.161000000000001,8.7162,1,3,3,3,2,168,0.15,0.231,0.1631,0.1672,0.1312,0.1659,0.1416,0.369,0.021,0.046,-0.196,0.038,-0.12
200,27,Execute_Ready_Job,0.3,0.875,1.0,0.15,1.0,0.5929,0.7555,0.0,0.5199999999999999,0.0,0.0,-0.05199999999999999,8.664200000000001,2,3,3,6,4,167,0.1,0.2325,0.1627,0.166,0.1317,0.1664,0.1406,0.372,0.015,0.035,-0.196,0.037,-0.131
200,28,Execute_Ready_Job,0.6,0.75,1.0,0.1,1.0,0.5929,0.7555,0.0,0.6200000000000001,0.0,0.2,-0.262,8.4022,2,3,4,7,5,166,0.1,0.2285,0.1643,0.17,0.1308,0.1645,0.1419,0.361,0.031,0.065,-0.198,0.032,-0.116
200,29,Execute_Ready_Job,0.7,0.6875,1.0,0.1,1.0,0.5912,0.7542,0.2,1.394,0.0,-0.2,0.060600000000000015,8.462800000000001,3,3,4,9,7,165,0.17,0.224,0.1675,0.1701,0.1327,0.1628,0.1428,0.352,0.062,0.077,-0.171,0.033,-0.098
200,30,Execute_Ready_Job,0.9,0.5625,1.0,0.17,1.0,0.5912,0.7542,0.0,0.0,0.0,0.0,0.0,8.462800000000001,0,3,4,0,0,167,0.15,0.2226,0.1659,0.1743,0.1297,0.163,0.1445,0.343,0.049,0.098,-0.197,0.031,-0.089
200,31,Execute_Ready_Job,0.0,1.0,1.0,0.15,1.0,0.5912,0.7542,0.0,0.25999999999999995,0.0,0.0,-0.025999999999999995,8.436800000000002,1,3,4,3,2,166,0.1,0.2354,0.1618,0.1625,0.133,0.1682,0.1391,0.376,0.001,0.006,-0.194,0.04,-0.15
200,32,Execute_Ready_Job,0.3,0.875,1.0,0.1,1.0,0.5912,0.7542,0.0,0.54,4.230000000000002,0.0,4.176000000000002,12.612800000000004,1,4,4,3,3,165,0.18,0.2322,0.1632,0.1663,0.1319,0.1663,0.1402,0.369,0.016,0.035,-0.197,0.035,-0.136
200,33,Execute_Ready_Job,0.3,0.8125,1.0,0.18,1.0,0.5883,0.7545,0.0,1.1199999999999999,0.0,0.0,-0.11199999999999999,12.500800000000003,2,4,4,6,5,164,0.2,0.2311,0.1632,0.1664,0.1318,0.1664,0.1411,0.366,0.018,0.037,-0.195,0.037,-0.128
200,34,Execute_Ready_Job,0.6,0.6875,1.0,0.2,1.0,0.5883,0.7545,0.0,0.21,0.0,0.0,-0.021,12.479800000000003,1,4,4,1,2,166,0.15,0.2273,0.1642,0.1701,0.1307,0.1647,0.143,0.358,0.033,0.068,-0.196,0.036,-0.106
200,35,Execute_Ready_Job,0.1,0.875,1.0,0.15,1.0,0.5883,0.7545,0.0,0.714,0.0,0.0,-0.0714,12.408400000000002,2,4,4,3,4,165,0.21,0.2326,0.1631,0.1642,0.1329,0.1675,0.1398,0.366,0.01,0.017,-0.194,0.037,-0.143
200,36,Execute_Ready_Job,0.3,0.75,1.0,0.21,1.0,0.5883,0.7545,0.0,0.4159999999999999,3.9899999999999984,0.0,3.9483999999999986,16.3568,1,5,4,3,2,164,0.16,0.2297,0.1638,0.1667,0.1319,0.1664,0.1415,0.36,0.021,0.039,-0.195,0.037,-0.124
200,37,Execute_Ready_Job,0.3,0.875,1.0,0.16,1.0,0.5849,0.7558,0.0,0.598,0.0,0.0,-0.0598,16.297,1,5,4,3,2,163,0.23,0.2325,0.1626,0.166,0.1318,0.1665,0.1407,0.372,0.014,0.035,-0.196,0.038,-0.13
200,38,Execute_Ready_Job,0.3,0.875,1.0,0.23,1.0,0.5849,0.7558,0.0,0.238,0.0,0.0,-0.0238,16.2732,1,5,4,1,2,163,0.17,0.2328,0.162,0.1657,0.1315,0.1666,0.1414,0.376,0.013,0.036,-0.195,0.042,-0.123
200,39,Execute_Ready_Job,0.1,0.875,1.0,0.17,1.0,0.5849,0.7558,0.0,0.5,0.0,0.0,-0.05,16.2232,2,5,4,5,5,162,0.1,0.2327,0.1629,0.1641,0.1328,0.1675,0.14,0.367,0.01,0.018,-0.194,0.038,-0.141
200,40,Execute_Ready_Job,0.5,0.6875,1.0,0.1,1.0,0.5849,0.7558,0.0,0.22399999999999998,4.169999999999998,0.0,4.147599999999998,20.370799999999996,1,6,4,1,2,161,0.16,0.2272,0.1652,0.1696,0.1315,0.165,0.1416,0.35,0.031,0.058,-0.197,0.03,-0.123
200,41,Execute_Ready_Job,0.1,0.875,1.0,0.16,1.0,0.5823,0.7559,0.0,0.32000000000000006,0.0,0.0,-0.03200000000000001,20.338799999999996,2,6,4,2,5,160,0.1,0.2326,0.1629,0.1642,0.1329,0.1675,0.1399,0.366,0.01,0.017,-0.194,0.038,-0.142
200,42,Execute_Ready_Job,0.2,0.6875,1.0,0.1,1.0,0.5823,0.7559,0.0,0.21600000000000003,0.0,0.0,-0.021600000000000005,20.317199999999996,1,6,4,1,3,160,0.12,0.2278,0.1656,0.1666,0.1331,0.1665,0.1403,0.343,0.024,0.03,-0.194,0.03,-0.142
200,43,Execute_Ready_Job,0.1,0.8125,1.0,0.12,1.0,0.5823,0.7559,0.0,0.64,0.0,0.0,-0.064,20.253199999999996,1,6,4,4,4,159,0.16,0.2309,0.164,0.1647,0.1332,0.1673,0.1398,0.356,0.014,0.018,-0.194,0.034,-0.146
200,44,Execute_Ready_Job,0.4,0.75,1.0,0.16,1.0,0.5823,0.7559,0.0,0.9280000000000002,0.0,0.0,-0.09280000000000002,20.160399999999996,2,6,4,5,7,158,0.16,0.2292,0.164,0.1679,0.1317,0.1658,0.1415,0.359,0.024,0.048,-0.195,0.035,-0.123
200,45,Execute_Ready_Job,0.5,0.5625,1.0,0.16,1.0,0.5823,0.7559,0.0,0.54,0.0,0.0,-0.054000000000000006,20.106399999999997,2,6,4,5,6,158,0.1,0.2242,0.1662,0.1703,0.1317,0.165,0.1425,0.337,0.038,0.062,-0.195,0.03,-0.116
200,46,Execute_Ready_Job,0.5,0.625,1.0,0.1,1.0,0.5823,0.7559,0.0,1.02,0.0,0.0,-0.10200000000000001,20.004399999999997,3,6,4,9,12,157,0.1,0.2256,0.1659,0.1701,0.1317,0.1649,0.1418,0.342,0.035,0.059,-0.196,0.028,-0.122
200,47,Execute_Ready_Job,0.9,0.25,1.0,0.1,1.0,0.5823,0.7559,0.0,1.428,0.0,0.0,-0.1428,19.861599999999996,3,6,4,9,12,156,0.14,0.2136,0.1706,0.1777,0.1309,0.1623,0.1448,0.293,0.068,0.109,-0.196,0.019,-0.096
200,48,Execute_Ready_Job,0.9,0.25,1.0,0.14,1.0,0.5823,0.7559,0.0,0.5319999999999999,7.490000000000002,0.0,7.436800000000002,27.298399999999997,2,8,4,2,4,155,0.19,0.2138,0.1703,0.1775,0.1308,0.1625,0.1452,0.295,0.068,0.109,-0.196,0.021,-0.092
200,49,Execute_Ready_Job,0.2,0.75,1.0,0.19,1.0,0.5758,0.757,0.0,0.442,0.0,0.0,-0.0442,27.254199999999997,2,8,4,3,4,154,0.13,0.2296,0.1639,0.1658,0.1327,0.1669,0.141,0.355,0.018,0.03,-0.193,0.036,-0.133
200,50,Execute_Ready_Job,0.3,0.75,1.0,0.13,1.0,0.5758,0.757,0.0,0.22,0.0,0.0,-0.022000000000000002,27.2322,1,8,4,2,2,155,0.11,0.2292,0.1643,0.167,0.1324,0.1662,0.1408,0.355,0.021,0.038,-0.195,0.033,-0.133
200,51,Execute_Ready_Job,0.2,0.875,1.0,0.11,1.0,0.5758,0.757,0.0,0.4,0.0,0.0,-0.04000000000000001,27.1922,1,8,4,4,4,155,0.1,0.2322,0.1631,0.1653,0.1326,0.1669,0.1399,0.366,0.012,0.026,-0.195,0.035,-0.141
200,52,Execute_Ready_Job,0.4,0.75,1.0,0.1,1.0,0.5758,0.757,0.0,0.7000000000000001,0.0,0.0,-0.07,27.1222,2,8,4,7,7,154,0.1,0.2289,0.1644,0.1681,0.1319,0.1656,0.141,0.355,0.024,0.047,-0.196,0.032,-0.129
200,53,Execute_Ready_Job,0.7,0.5625,1.0,0.1,1.0,0.5758,0.757,0.0,1.0,0.0,0.0,-0.1,27.022199999999998,3,8,4,10,10,153,0.1,0.2232,0.1664,0.1726,0.131,0.1638,0.1429,0.336,0.043,0.079,-0.196,0.027,-0.109
200,54,Execute_Ready_Job,1.0,0.375,1.0,0.1,1.0,0.5758,0.757,0.0,1.0,0.0,0.0,-0.1,26.922199999999997,3,8,4,10,10,153,0.1,0.2165,0.1688,0.1775,0.1302,0.1621,0.145,0.312,0.063,0.113,-0.197,0.022,-0.089
200,55,Execute_Ready_Job,1.0,0.375,1.0,0.1,1.0,0.5758,0.757,0.0,1.1900000000000002,0.0,0.0,-0.11900000000000002,26.803199999999997,2,8,4,7,7,154,0.17,0.2165,0.1688,0.1775,0.1302,0.1621,0.145,0.312,0.063,0.113,-0.197,0.022,-0.089
200,56,Execute_Ready_Job,0.7,0.5625,1.0,0.17,1.0,0.5758,0.757,0.0,0.32,4.329999999999998,0.0,4.297999999999998,31.101199999999995,1,9,4,2,2,154,0.16,0.2235,0.1659,0.1723,0.1308,0.164,0.1436,0.34,0.042,0.08,-0.196,0.031,-0.102
200,57,Execute_Ready_Job,0.2,0.875,1.0,0.16,1.0,0.5741,0.7589,0.0,0.38,4.07,0.0,4.032,35.133199999999995,1,10,4,2,2,153,0.19,0.2325,0.1626,0.1651,0.1324,0.167,0.1403,0.369,0.011,0.026,-0.194,0.038,-0.136
200,58,Execute_Ready_Job,0.2,0.875,1.0,0.19,1.0,0.572,0.7576,0.0,0.34,4.030000000000001,0.0,3.9960000000000013,39.1292,1,11,4,2,2,152,0.17,0.2326,0.1623,0.165,0.1323,0.1671,0.1406,0.37,0.011,0.027,-0.194,0.04,-0.133
200,59,Execute_Ready_Job,0.2,0.875,1.0,0.17,1.0,0.5701,0.7565,0.0,0.24,0.0,0.0,-0.024,39.105199999999996,1,11,4,2,2,151,0.12,0.2325,0.1625,0.1651,0.1324,0.1671,0.1404,0.369,0.011,0.027,-0.194,0.039,-0.135
200,60,Execute_Ready_Job,0.2,0.875,1.0,0.12,1.0,0.5701,0.7565,0.0,0.0,0.0,0.2,-0.2,38.905199999999994,0,11,5,0,0,150,0.11,0.2322,0.1629,0.1653,0.1326,0.167,0.14,0.366,0.012,0.026,-0.194,0.036,-0.14
200,61,Execute_Ready_Job,0.0,1.0,1.0,0.11,1.0,0.5651,0.7549,0.2,0.13999999999999999,0.0,-0.2,0.186,39.09119999999999,1,11,5,1,2,149,0.1,0.2326,0.1643,0.1611,0.1357,0.1672,0.139,0.371,0.023,0.004,-0.168,0.041,-0.144
200,62,Execute_Ready_Job,0.1,0.875,1.0,0.1,1.0,0.5651,0.7549,0.0,0.13999999999999999,0.0,0.0,-0.013999999999999999,39.07719999999999,1,11,5,1,2,148,0.1,0.2321,0.1632,0.1645,0.1333,0.1675,0.1394,0.361,0.009,0.017,-0.193,0.035,-0.149
200,63,Execute_Ready_Job,0.1,0.875,1.0,0.1,1.0,0.5651,0.7549,0.0,0.238,0.0,0.0,-0.0238,39.05339999999999,1,11,5,1,2,147,0.17,0.2321,0.1632,0.1645,0.1333,0.1675,0.1394,0.361,0.009,0.017,-0.193,0.035,-0.149
200,64,Execute_Ready_Job,0.1,0.875,1.0,0.17,1.0,0.5651,0.7549,0.0,0.26599999999999996,0.0,0.0,-0.0266,39.02679999999999,1,11,5,1,2,147,0.19,0.2325,0.1626,0.1642,0.133,0.1676,0.14,0.365,0.008,0.018,-0.193,0.038,-0.142
200,65,Execute_Ready_Job,0.1,0.875,1.0,0.19,1.0,0.5651,0.7549,0.0,1.0,0.0,0.0,-0.1,38.926799999999986,1,11,5,4,4,146,0.25,0.2325,0.1625,0.1641,0.133,0.1677,0.1402,0.366,0.008,0.018,-0.193,0.039,-0.139
200,66,Execute_Ready_Job,0.4,0.75,1.0,0.25,1.0,0.5651,0.7549,0.0,1.7280000000000002,0.0,0.0,-0.17280000000000004,38.753999999999984,2,11,5,5,6,145,0.32,0.2294,0.163,0.1676,0.1315,0.1661,0.1424,0.363,0.021,0.049,-0.194,0.04,-0.114
200,67,Execute_Ready_Job,0.5,0.625,1.0,0.32,1.0,0.5651,0.7549,0.0,1.4580000000000002,0.0,0.0,-0.1458,38.60819999999998,2,11,5,5,6,144,0.27,0.2263,0.1639,0.1692,0.1312,0.1656,0.1439,0.353,0.03,0.062,-0.193,0.041,-0.1
200,68,Execute_Ready_Job,0.5,0.625,1.0,0.27,1.0,0.5651,0.7549,0.0,1.914,0.0,0.0,-0.19140000000000001,38.41679999999998,2,11,5,7,6,144,0.29,0.2261,0.1643,0.1694,0.1313,0.1655,0.1434,0.35,0.031,0.061,-0.193,0.038,-0.105
200,69,Execute_Ready_Job,0.7,0.625,1.0,0.29,1.0,0.5651,0.7549,0.0,0.0,3.1700000000000017,0.0,3.1700000000000017,41.58679999999998,0,12,5,0,0,146,0.23,0.2254,0.1639,0.1713,0.1303,0.1646,0.1445,0.354,0.036,0.08,-0.194,0.039,-0.09
200,70,Execute_Ready_Job,0.0,1.0,1.0,0.23,1.0,0.561,0.7561,0.0,0.96,0.0,0.0,-0.096,41.490799999999986,1,12,5,4,4,145,0.24,0.2355,0.1608,0.1623,0.1331,0.1685,0.1399,0.379,-0.002,0.007,-0.192,0.045,-0.142
200,71,Execute_Ready_Job,0.4,0.75,1.0,0.24,1.0,0.561,0.7561,0.0,1.188,0.0,0.0,-0.1188,41.371999999999986,2,12,5,7,6,144,0.18,0.2294,0.163,0.1676,0.1316,0.1661,0.1423,0.362,0.021,0.048,-0.193,0.039,-0.115
200,72,Execute_Ready_Job,0.7,0.625,1.0,0.18,1.0,0.561,0.7561,0.0,0.92,0.0,0.0,-0.09200000000000001,41.27999999999999,1,12,5,4,4,144,0.23,0.225,0.1648,0.1718,0.1307,0.1642,0.1435,0.348,0.037,0.078,-0.195,0.033,-0.102
200,73,Execute_Ready_Job,0.4,0.75,1.0,0.23,1.0,0.561,0.7561,0.0,0.6400000000000001,4.140000000000001,0.0,4.0760000000000005,45.35599999999999,1,13,5,4,2,143,0.2,0.2293,0.1631,0.1676,0.1316,0.1661,0.1422,0.362,0.021,0.048,-0.193,0.039,-0.116
200,74,Execute_Ready_Job,0.4,0.875,1.0,0.2,1.0,0.5594,0.7553,0.0,0.38400000000000006,0.0,0.2,-0.23840000000000003,45.11759999999999,1,13,6,2,3,142,0.16,0.2322,0.1618,0.1669,0.1314,0.1662,0.1416,0.375,0.014,0.045,-0.194,0.041,-0.12
200,75,Execute_Ready_Job,0.2,0.8125,1.0,0.16,1.0,0.5588,0.757,0.2,0.608,0.0,-0.2,0.13920000000000002,45.25679999999999,2,13,6,3,5,141,0.16,0.2284,0.1657,0.164,0.1351,0.166,0.1408,0.358,0.037,0.027,-0.167,0.039,-0.125
200,76,Execute_Ready_Job,0.3,0.6875,1.0,0.16,1.0,0.5588,0.757,0.0,0.196,0.0,0.0,-0.019600000000000003,45.237199999999994,1,13,6,1,2,141,0.14,0.2277,0.1646,0.1674,0.1326,0.1663,0.1413,0.347,0.023,0.04,-0.193,0.033,-0.13
200,77,Execute_Ready_Job,0.1,0.875,1.0,0.14,1.0,0.5588,0.757,0.0,0.442,0.0,0.0,-0.0442,45.193,1,13,6,3,4,140,0.13,0.2323,0.1628,0.1643,0.1332,0.1676,0.1398,0.363,0.008,0.017,-0.193,0.037,-0.144
200,78,Execute_Ready_Job,0.3,0.75,1.0,0.13,1.0,0.5588,0.757,0.0,0.34,0.0,0.2,-0.234,44.958999999999996,1,13,7,3,4,139,0.1,0.2291,0.1641,0.1671,0.1325,0.1663,0.1409,0.354,0.02,0.038,-0.194,0.033,-0.133
200,79,Execute_Ready_Job,0.3,0.75,1.0,0.1,1.0,0.5534,0.7554,0.2,0.5800000000000001,0.0,-0.2,0.14200000000000002,45.101,2,13,7,5,7,138,0.1,0.2264,0.1668,0.1657,0.135,0.1652,0.1409,0.35,0.044,0.038,-0.167,0.035,-0.125
200,80,Execute_Ready_Job,0.5,0.5625,1.0,0.1,1.0,0.5534,0.7554,0.0,0.44000000000000006,0.0,0.0,-0.04400000000000001,45.057,2,13,7,4,5,138,0.1,0.2237,0.1664,0.1707,0.1322,0.1649,0.142,0.332,0.036,0.061,-0.194,0.027,-0.123
200,81,Execute_Ready_Job,0.4,0.6875,1.0,0.1,1.0,0.5534,0.7554,0.0,0.24000000000000005,0.0,0.0,-0.024000000000000007,45.033,1,13,7,2,3,140,0.1,0.2272,0.1649,0.1687,0.1323,0.1656,0.1412,0.346,0.026,0.049,-0.194,0.03,-0.129
200,82,Execute_Ready_Job,0.2,0.8125,1.0,0.1,1.0,0.5534,0.7554,0.0,0.6380000000000001,0.0,0.0,-0.06380000000000001,44.9692,2,13,7,5,7,139,0.11,0.2305,0.1637,0.1659,0.133,0.1669,0.14,0.356,0.014,0.027,-0.193,0.033,-0.142
200,83,Execute_Ready_Job,0.5,0.5625,1.0,0.11,1.0,0.5534,0.7554,0.0,0.9180000000000001,2.8599999999999994,0.0,2.7681999999999993,47.7374,2,14,7,5,6,138,0.17,0.2238,0.1663,0.1707,0.1322,0.1649,0.1421,0.332,0.036,0.061,-0.194,0.027,-0.122
200,84,Execute_Ready_Job,0.5,0.625,1.0,0.17,1.0,0.5481,0.7555,0.0,0.66,0.0,0.0,-0.066,47.6714,2,14,7,6,6,137,0.11,0.2256,0.165,0.1699,0.1318,0.1652,0.1425,0.344,0.031,0.06,-0.194,0.032,-0.116
200,85,Execute_Ready_Job,0.6,0.625,1.0,0.11,1.0,0.5481,0.7555,0.0,0.4,0.0,0.0,-0.04000000000000001,47.6314,2,14,7,4,4,137,0.1,0.225,0.1653,0.1712,0.1315,0.1645,0.1424,0.342,0.034,0.069,-0.195,0.029,-0.115
200,86,Execute_Ready_Job,0.4,0.75,1.0,0.1,1.0,0.5481,0.7555,0.0,0.24000000000000005,0.0,0.0,-0.024000000000000007,47.6074,1,14,7,2,3,137,0.1,0.2287,0.1641,0.1683,0.1322,0.1658,0.141,0.354,0.022,0.047,-0.194,0.032,-0.13
200,87,Execute_Ready_Job,0.2,0.8125,1.0,0.1,1.0,0.5481,0.7555,0.0,0.54,0.0,0.0,-0.054000000000000006,47.553399999999996,2,14,7,5,6,136,0.1,0.2304,0.1636,0.1659,0.1331,0.1669,0.14,0.356,0.014,0.027,-0.193,0.033,-0.142
200,88,Execute_Ready_Job,0.5,0.625,1.0,0.1,1.0,0.5481,0.7555,0.0,0.154,9.280000000000001,0.0,9.264600000000002,56.818,1,16,7,1,2,135,0.11,0.2253,0.1656,0.1702,0.1321,0.165,0.1418,0.34,0.032,0.06,-0.194,0.028,-0.123
